,authors,title,venue,type,year,access,key,ee
424,"Eddie Clemente,Gustavo Olague,Daniel E. Hernández 0001,José L. Briseño,José Mercado",Object Detection in Natural Images Using the Brain Programming Paradigm with a Multi-objective Approach.,EvoApplications,Conference and Workshop Papers,2015,closed,conf/evoW/ClementeOHBM15,https://doi.org/10.1007/978-3-319-16549-3_17
425,"R. Sai Srivatsa,R. Venkatesh Babu",Salient object detection via objectness measure.,ICIP,Conference and Workshop Papers,2015,closed,conf/icip/SrivatsaB15,https://doi.org/10.1109/ICIP.2015.7351654
426,"Naoto Yokoya,Akira Iwasaki",Generalized-hough-transform object detection using class-specific sparse representation for local-feature detection.,IGARSS,Conference and Workshop Papers,2015,closed,conf/igarss/YokoyaI15,https://doi.org/10.1109/IGARSS.2015.7326409
427,"Hao Chen,Shanshan Zhang,Jinfu Yang,Qiang Zhang",Object Detection Based on Improved Exemplar SVMs Using a Generic Object Measure.,ITITS,Conference and Workshop Papers,2015,closed,conf/itits/ChenZYZ15,https://doi.org/10.1007/978-3-319-38789-5_33
428,"Xiaozhi Chen,Kaustav Kundu,Yukun Zhu,Andrew G. Berneshawi,Huimin Ma,Sanja Fidler,Raquel Urtasun",3D Object Proposals for Accurate Object Class Detection.,NIPS,Conference and Workshop Papers,2015,open,conf/nips/ChenKZBMFU15,https://proceedings.neurips.cc/paper/2015/hash/6da37dd3139aa4d9aa55b8d237ec5d4a-Abstract.html
429,"Floris De Smedt,Toon Goedemé",Fast Rotation Invariant Object Detection with Gradient based Detection Models.,VISAPP,Conference and Workshop Papers,2015,closed,conf/visapp/SmedtG15,https://doi.org/10.5220/0005308404000407
430,"Qichang Hu,Sakrapee Paisitkriangkrai,Chunhua Shen,Anton van den Hengel,Fatih Porikli",Fast detection of multiple objects in traffic scenes with a common detection framework.,CoRR,Informal Publications,2015,open,journals/corr/HuPSHP15,http://arxiv.org/abs/1510.03125
431,"R. Sai Srivatsa,R. Venkatesh Babu",Salient Object Detection via Objectness Measure.,CoRR,Informal Publications,2015,open,journals/corr/RB15,http://arxiv.org/abs/1506.07363
432,"Boris Schauerte,Rainer Stiefelhagen",On the Distribution of Salient Objects in Web Images and its Influence on Salient Object Detection.,CoRR,Informal Publications,2015,open,journals/corr/SchauerteS15,http://arxiv.org/abs/1501.03383
433,"Xingyu Zeng,Wanli Ouyang,Xiaogang Wang 0001",Window-Object Relationship Guided Representation Learning for Generic Object Detections.,CoRR,Informal Publications,2015,open,journals/corr/ZengOW15,http://arxiv.org/abs/1512.02736
434,"Ge Guo,Yizhou Wang 0001,Tingting Jiang,Alan L. Yuille,Fang Fang 0003,Wen Gao 0001",A Shape Reconstructability Measure of Object Part Importance with Applications to Object Detection and Localization.,Int. J. Comput. Vis.,Journal Articles,2014,closed,journals/ijcv/GuoWJYFG14,https://doi.org/10.1007/s11263-014-0705-9
435,"Zhipeng Wang,Jinshi Cui,Hongbin Zha,Masataka Kagesawa,Shintaro Ono,Katsushi Ikeuchi",Foreground Object Detection by Motion-based Grouping of Object Parts.,Int. J. Intell. Transp. Syst. Res.,Journal Articles,2014,open,journals/itsr/WangCZKOI14,https://doi.org/10.1007/s13177-013-0074-8
436,"Imtiaz Ali,Julien Mille,Laure Tougne",Adding a rigid motion model to foreground detection: application to moving object detection in rivers.,Pattern Anal. Appl.,Journal Articles,2014,closed,journals/paa/AliMT14,https://doi.org/10.1007/s10044-013-0346-6
437,"Willie Neiswanger,Frank D. Wood,Eric P. Xing",The Dependent Dirichlet Process Mixture of Objects for Detection-free Tracking and Object Modeling.,AISTATS,Conference and Workshop Papers,2014,open,conf/aistats/NeiswangerWX14,http://proceedings.mlr.press/v33/neiswanger14.html
438,"Christopher Herbon,Klaus D. Tönnies,Bernd Stock","Detection and Segmentation of Clustered Objects by Using Iterative Classification, Segmentation, and Gaussian Mixture Models and Application to Wood Log Detection.",GCPR,Conference and Workshop Papers,2014,closed,conf/dagm/HerbonTS14,https://doi.org/10.1007/978-3-319-11752-2_28
439,"Ehud Barnea,Ohad Ben-Shahar",Depth Based Object Detection from Partial Pose Estimation of Symmetric Objects.,ECCV,Conference and Workshop Papers,2014,closed,conf/eccv/BarneaB14,https://doi.org/10.1007/978-3-319-10602-1_25
440,"Sujoy Kumar Biswas,Peyman Milanfar",Laplacian object: One-shot object detection by locality preserving projection.,ICIP,Conference and Workshop Papers,2014,closed,conf/icip/BiswasM14,https://doi.org/10.1109/ICIP.2014.7025825
441,"Yuxing Tang,Xiaofang Wang,Emmanuel Dellandréa,Simon Masnou,Liming Chen 0002",Fusing generic objectness and deformable part-based models for weakly supervised object detection.,ICIP,Conference and Workshop Papers,2014,closed,conf/icip/TangWDMC14,https://doi.org/10.1109/ICIP.2014.7025827
442,"Song Wang 0007,Akihiro Minagawa,Wei Fan 0005,Jun Sun 0004,Liang Xu",A Fast and Robust Multi-color Object Detection Method with Application to Color Chart Detection.,PRICAI,Conference and Workshop Papers,2014,closed,conf/pricai/WangMF0X14,https://doi.org/10.1007/978-3-319-13560-1_28
443,"Tim Althoff,Hyun Oh Song,Trevor Darrell",Detection Bank: An Object Detection Based Video Representation for Multimedia Event Recognition.,CoRR,Informal Publications,2014,open,journals/corr/AlthoffSD14,http://arxiv.org/abs/1405.7102
444,"Hyun Oh Song,Ross B. Girshick,Stefanie Jegelka,Julien Mairal,Zaïd Harchaoui,Trevor Darrell",One-Bit Object Detection: On learning to localize objects with minimal supervision.,CoRR,Informal Publications,2014,open,journals/corr/SongGJMHD14,http://arxiv.org/abs/1403.1024
445,"Gang Wang 0012,David A. Forsyth,Derek Hoiem",Improved Object Categorization and Detection Using Comparative Object Similarity.,IEEE Trans. Pattern Anal. Mach. Intell.,Journal Articles,2013,closed,journals/pami/WangFH13,https://doi.org/10.1109/TPAMI.2013.58
446,"Murray Evans,Christopher J. Osborne,James M. Ferryman",Multicamera object detection and tracking with object size estimation.,AVSS,Conference and Workshop Papers,2013,closed,conf/avss/EvansOF13,https://doi.org/10.1109/AVSS.2013.6636636
447,"Kwang Moo Yi,Kimin Yun,Soo Wan Kim,Hyung Jin Chang,Jin Young Choi 0002",Detection of Moving Objects with Non-stationary Cameras in 5.8ms: Bringing Motion Detection to Your Mobile Device.,CVPR Workshops,Conference and Workshop Papers,2013,closed,conf/cvpr/YiYKCC13,https://doi.org/10.1109/CVPRW.2013.9
448,"Yung Joon Chai,Siak Wang Khor,Yong Haur Tay",Object occlusion and object removal detection.,ICDIP,Conference and Workshop Papers,2013,closed,conf/icdip/ChaiKT13,https://doi.org/10.1117/12.2032482
449,"Boris Schauerte,Rainer Stiefelhagen",How the distribution of salient objects in images influences salient object detection.,ICIP,Conference and Workshop Papers,2013,closed,conf/icip/SchauerteS13,https://doi.org/10.1109/ICIP.2013.6738016
450,"Yan Wang,Jing Huang",Object detection in X-ray images based on object candidate extraction and support vector machine.,ICNC,Conference and Workshop Papers,2013,closed,conf/icnc/WangH13,https://doi.org/10.1109/ICNC.2013.6817965
451,"Lixia Gong,Qiang Li,Jingfa Zhang",Earthquake building damage detection with object-oriented change detection.,IGARSS,Conference and Workshop Papers,2013,closed,conf/igarss/GongLZ13,https://doi.org/10.1109/IGARSS.2013.6723627
452,"Christopher Bulla,Peter Hosten",Detection of false feature correspondences in feature based object detection systems.,IVCNZ,Conference and Workshop Papers,2013,closed,conf/ivcnz/BullaH13,https://doi.org/10.1109/IVCNZ.2013.6726987
453,"Lu Dong,Weisi Lin,Yuming Fang,Shiqian Wu,Hock Soon Seah",Detection of salient objects in computer synthesized images based on object-level contrast.,VCIP,Conference and Workshop Papers,2013,closed,conf/vcip/DongLFWS13,https://doi.org/10.1109/VCIP.2013.6706362
454,"Cameron S. Grant,Todd K. Moon,Jake Gunther,Matthew Stites,Gustavious P. Williams",Detection of Amorphously Shaped Objects Using Spatial Information Detection Enhancement (SIDE).,IEEE J. Sel. Top. Appl. Earth Obs. Remote. Sens.,Journal Articles,2012,closed,journals/staeors/GrantMGSW12,https://doi.org/10.1109/JSTARS.2012.2186284
455,"Marina V. Dragosevic,Wesley Burwash,Shen Chiu",Detection and Estimation With RADARSAT-2 Moving-Object Detection Experiment Modes.,IEEE Trans. Geosci. Remote. Sens.,Journal Articles,2012,closed,journals/tgrs/DragosevicBC12,https://doi.org/10.1109/TGRS.2012.2184798
456,"Tomasz Kryjak,Mateusz Komorkiewicz,Marek Gorgon","FPGA implementation of real-time head-shoulder detection using local binary patterns, SVM and foreground object detection.",DASIP,Conference and Workshop Papers,2012,closed,conf/dasip/KryjakKG12a,https://ieeexplore.ieee.org/document/6385387/
457,"Concetto Spampinato,Simone Palazzo",Enhancing object detection performance by integrating motion objectness and perceptual organization.,ICPR,Conference and Workshop Papers,2012,closed,conf/icpr/SpampinatoP12,https://ieeexplore.ieee.org/document/6460953/
458,"Yu Chen,Vrizlynn L. L. Thing",Using Low Level Gradient Channels for Computationally Efficient Object Detection and Its Application in Logo Detection.,ISM,Conference and Workshop Papers,2012,closed,conf/ism/ChenT12,https://doi.org/10.1109/ISM.2012.51
459,"Tim Althoff,Hyun Oh Song,Trevor Darrell",Detection bank: an object detection based video representation for multimedia event recognition.,ACM Multimedia,Conference and Workshop Papers,2012,closed,conf/mm/AlthoffSD12,https://doi.org/10.1145/2393347.2396384
460,"Sinisa Segvic,Zoran Kalafatic,Ivan Kovacek",Sliding Window Object Detection without Spatial Clustering of Raw Detection Responses.,SyRoCo,Conference and Workshop Papers,2012,closed,conf/syroco/SegvicKK12,https://doi.org/10.3182/20120905-3-HR-2030.00192
461,"Rachel Hunt,Mark Johnston,Mengjie Zhang 0001",Improving Robustness of Multiple-Objective Genetic Programming for Object Detection.,Australasian Conference on Artificial Intelligence,Conference and Workshop Papers,2011,closed,conf/ausai/HuntJZ11,https://doi.org/10.1007/978-3-642-25832-9_32
462,"Quanfu Fan,Sharath Pankanti",Modeling of temporarily static objects for robust abandoned object detection in urban surveillance.,AVSS,Conference and Workshop Papers,2011,closed,conf/avss/FanP11,https://doi.org/10.1109/AVSS.2011.6027290
463,"Chuan Shi,Philip S. Yu,Yanan Cai,Zhenyu Yan 0001,Bin Wu 0001",On selection of objective functions in multi-objective community detection.,CIKM,Conference and Workshop Papers,2011,closed,conf/cikm/ShiYCYW11,https://doi.org/10.1145/2063576.2063951
464,"Jianzhu Cui,Ping Wang,Zhipeng Li,Jing Li,Yan Li",Moving Object Detection through Efficient Detection and Clustering of Reliable Singular Points.,CSISE,Conference and Workshop Papers,2011,closed,conf/csise/CuiWLLL11,https://doi.org/10.1007/978-3-642-23777-5_63
465,"Kai-Yueh Chang,Tyng-Luh Liu,Hwann-Tzong Chen,Shang-Hong Lai",Fusing generic objectness and visual saliency for salient object detection.,ICCV,Conference and Workshop Papers,2011,closed,conf/iccv/ChangLCL11,https://doi.org/10.1109/ICCV.2011.6126333
466,"Marlindia Ike Sari,Andriyan Bayu Suksmono,T. Iwan Iwut",Detection and reconstruction of Geometric Object based on line detection using Radon Transform.,ICEEI,Conference and Workshop Papers,2011,closed,conf/iceei/SariSI11,https://doi.org/10.1109/ICEEI.2011.6021815
467,"Julien Michel,Manuel Grizonnet,Jordi Inglada,Julien Malik,Aurélien Bricier,Otmane Lahlou","Local feature based supervised object detection: Sampling, learning and detection strategies.",IGARSS,Conference and Workshop Papers,2011,closed,conf/igarss/MichelGIMBL11,https://doi.org/10.1109/IGARSS.2011.6049689
468,"Dianting Liu,Mei-Ling Shyu,Qiusha Zhu,Shu-Ching Chen",Moving Object Detection under Object Occlusion Situations in Video Sequences.,ISM,Conference and Workshop Papers,2011,closed,conf/ism/LiuSZC11,https://doi.org/10.1109/ISM.2011.50
469,"Jiu Xu,Chenyuan Zhang,Satoshi Goto",Object tracking by detection for video surveillance systems based on modified codebook foreground detection and particle filter.,ISPACS,Conference and Workshop Papers,2011,closed,conf/ispacs/XuZG11,https://doi.org/10.1109/ISPACS.2011.6146085
470,"Xin Liu,Bin Dai 0001,Hangen He",Real-time object segmentation for visual object detection in dynamic scenes.,SoCPaR,Conference and Workshop Papers,2011,closed,conf/socpar/LiuDH11,https://doi.org/10.1109/SoCPaR.2011.6089281
471,"Shigeyuki Odashima,Taketoshi Mori,Masamichi Shimosaka,Hiroshi Noguchi,Tomomasa Sato",Event Understanding of Human-Object Interaction: Object Movement Detection via Stable Changes.,Intelligent Video Event Analysis and Understanding,Parts in Books or Collections,2011,closed,series/sci/OdashimaMSNS11,https://doi.org/10.1007/978-3-642-17554-1_9
472,"Thomas Liddle,Mark Johnston,Mengjie Zhang 0001",Multi-Objective Genetic Programming for object detection.,IEEE Congress on Evolutionary Computation,Conference and Workshop Papers,2010,closed,conf/cec/LiddleJZ10,https://doi.org/10.1109/CEC.2010.5586072
473,"Michal Sofka,Jingdan Zhang,Shaohua Kevin Zhou,Dorin Comaniciu",Multiple object detection by sequential monte carlo and Hierarchical Detection Network.,CVPR,Conference and Workshop Papers,2010,closed,conf/cvpr/SofkaZZC10,https://doi.org/10.1109/CVPR.2010.5539842
474,"Nima Razavi,Juergen Gall,Luc Van Gool",Backprojection Revisited: Scalable Multi-view Object Detection and Similarity Metrics for Detections.,ECCV,Conference and Workshop Papers,2010,closed,conf/eccv/RazaviGG10,https://doi.org/10.1007/978-3-642-15549-9_45
475,"Joni-Kristian Kamarainen,Jarmo Ilonen",Learning and Detection of Object Landmarks in Canonical Object Space.,ICPR,Conference and Workshop Papers,2010,closed,conf/icpr/KamarainenI10,https://doi.org/10.1109/ICPR.2010.348
476,"Shigeyuki Odashima,Tomomasa Sato,Taketoshi Mori",Household object management via integration of object movement detection from multiple cameras.,IROS,Conference and Workshop Papers,2010,closed,conf/iros/OdashimaSM10,https://doi.org/10.1109/IROS.2010.5651511
477,"Ka Ki Ng,Edward J. Delp",Object tracking initialization using automatic moving object detection.,Visual Information Processing and Communication,Conference and Workshop Papers,2010,closed,conf/vipc/NgD10,https://doi.org/10.1117/12.839126
478,"Murtaza Taj,Andrea Cavallaro",Multi-view Multi-object Detection and Tracking.,"Computer Vision - Detection, Recognition and Reconstruction",Parts in Books or Collections,2010,closed,series/sci/TajC10,https://doi.org/10.1007/978-3-642-12848-6_10
479,"Bo Wu 0001,Ram Nevatia","Detection and Segmentation of Multiple, Partially Occluded Objects by Grouping, Merging, Assigning Part Detection Responses.",Int. J. Comput. Vis.,Journal Articles,2009,closed,journals/ijcv/WuN09,https://doi.org/10.1007/s11263-008-0194-9
480,"Yefeng Zheng 0001,Xiaoguang Lu,Bogdan Georgescu,Arne Littmann,Edgar Mueller,Dorin Comaniciu",Robust object detection using marginal space learning and ranking-based multi-detector aggregation: Application to left ventricle detection in 2D MRI images.,CVPR,Conference and Workshop Papers,2009,closed,conf/cvpr/ZhengLGLMC09,https://doi.org/10.1109/CVPR.2009.5206808
481,"Mete Ozay,Okan Akalin,Fatos T. Yarman-Vural",Ensemble detection: A new architecture for multisensor data fusion with ensemble learning for object detection.,ISCIS,Conference and Workshop Papers,2009,closed,conf/iscis/OzayAY09,https://doi.org/10.1109/ISCIS.2009.5291800
482,"Reid B. Porter,Neal R. Harvey,James Theiler",A change detection approach to moving object detection in low fame-rate video.,Visual Information Processing,Conference and Workshop Papers,2009,closed,conf/spieVIP/PorterHT09,https://doi.org/10.1117/12.818622
483,"Alexander Bachmann 0001,Thao Dang 0002",Improving motion-based object detection by incorporating object-specific knowledge.,Int. J. Intell. Inf. Database Syst.,Journal Articles,2008,closed,journals/ijiids/BachmannD08,https://doi.org/10.1504/IJIIDS.2008.018258
484,"Firooz Sadjadi,Anders Sullivan,Guillermo C. Gaunaurd",Detection of buried objects using GPR change detection in polarimetric Huynen spaces.,CVPR Workshops,Conference and Workshop Papers,2008,closed,conf/cvpr/SadjadiSG08,https://doi.org/10.1109/CVPRW.2008.4563063
485,"Stefan Gächter,Ahad Harati,Roland Siegwart",Incremental object part detection toward object classification in a sequence of noisy range images.,ICRA,Conference and Workshop Papers,2008,closed,conf/icra/GachterHS08,https://doi.org/10.1109/ROBOT.2008.4543831
486,"Ville Viitaniemi,Jorma Laaksonen","Techniques for Image Classification, Object Detection and Object Segmentation.",VISUAL,Conference and Workshop Papers,2008,closed,conf/visual/ViitaniemiL08a,https://doi.org/10.1007/978-3-540-85891-1_26
487,"Hamed Masnadi-Shirazi,Nuno Vasconcelos",High Detection-rate Cascades for Real-Time Object Detection.,ICCV,Conference and Workshop Papers,2007,closed,conf/iccv/Masnadi-ShiraziV07,https://doi.org/10.1109/ICCV.2007.4408860
488,"Xin Mao,Feihu Qi,Wenjia Zhu",Multiple-part based Pedestrian Detection using Interfering Object Detection.,ICNC,Conference and Workshop Papers,2007,closed,conf/icnc/MaoQZ07,https://doi.org/10.1109/ICNC.2007.491
489,"Georg Biegelbauer,Markus Vincze",Efficient 3D Object Detection by Fitting Superquadrics to Range Image Data for Robot&apos;s Object Manipulation.,ICRA,Conference and Workshop Papers,2007,closed,conf/icra/BiegelbauerV07,https://doi.org/10.1109/ROBOT.2007.363129
490,"Xiangwei Zhang,Jonathan Stoeckel,Matthias Wolf 0001,Pascal Cathier,Geoffrey McLennan,Eric A. Hoffman,Milan Sonka",A New Method for Spherical Object Detection and Its Application to Computer Aided Detection of Pulmonary Nodules in CT Images.,MICCAI,Conference and Workshop Papers,2007,open,conf/miccai/ZhangSWCMHS07,https://doi.org/10.1007/978-3-540-75757-3_102
491,"Christian Wolf 0001,Jean-Michel Jolion",Object count/area graphs for the evaluation of object detection and segmentation algorithms.,Int. J. Document Anal. Recognit.,Journal Articles,2006,closed,journals/ijdar/WolfJ06,https://doi.org/10.1007/s10032-006-0014-0
492,"Sachin Gangaputra,Donald Geman",The Trace Model for Object Detection and Tracking.,Toward Category-Level Object Recognition,Conference and Workshop Papers,2006,closed,conf/clor/GangaputraG06,https://doi.org/10.1007/11957959_21
493,"Bernd Heisele,Ivaylo Riskov,Christian Morgenstern",Components for Object Detection and Identification.,Toward Category-Level Object Recognition,Conference and Workshop Papers,2006,closed,conf/clor/HeiseleRM06,https://doi.org/10.1007/11957959_12
494,"Kevin P. Murphy,Antonio Torralba 0001,Daniel Eaton,William T. Freeman",Object Detection and Localization Using Local and Global Features.,Toward Category-Level Object Recognition,Conference and Workshop Papers,2006,closed,conf/clor/MurphyTEF06,https://doi.org/10.1007/11957959_20
495,"Antonio Torralba 0001,Kevin P. Murphy,William T. Freeman",Shared Features for Multiclass Object Detection.,Toward Category-Level Object Recognition,Conference and Workshop Papers,2006,closed,conf/clor/TorralbaMF06,https://doi.org/10.1007/11957959_18
496,"Ilkay Ulusoy,Christopher M. Bishop",Comparison of Generative and Discriminative Techniques for Object Detection and Classification.,Toward Category-Level Object Recognition,Conference and Workshop Papers,2006,closed,conf/clor/UlusoyB06,https://doi.org/10.1007/11957959_9
497,"Youn-Suk Song,Sung-Bae Cho",Objects Relationship Modeling for Improving Object Detection Using Bayesian Network Integration.,ICIC,Conference and Workshop Papers,2006,closed,conf/icic/SongC06,https://doi.org/10.1007/11816157_126
498,"Hernsoo Hahn,Youngjoon Han",Detection and Localization of the Top Object in the Stack of Objects.,ISVC,Conference and Workshop Papers,2006,closed,conf/isvc/HahnH06,https://doi.org/10.1007/11919629_13
499,"Chun Young Chang,Jun Hwang",On the Face Detection with Adaptive Template Matching and Cascaded Object Detection for Ubiquitous Computing Environment.,ICCSA,Conference and Workshop Papers,2005,closed,conf/iccsa/ChangH05,https://doi.org/10.1007/11424758_127
500,"Jin Ok Kim,Jun Yeong Jang,Chin Hyun Chung",On a Face Detection with an Adaptive Template Matching and an Efficient Cascaded Object Detection.,ICIC,Conference and Workshop Papers,2005,closed,conf/icic/KimJC05,https://doi.org/10.1007/11538356_43
501,"Christoph von Praun,Thomas R. Gross",Static Detection of Atomicity Violations in Object-Oriented Programs.,J. Object Technol.,Journal Articles,2004,open,journals/jot/PraunG04,https://doi.org/10.5381/jot.2004.3.6.a5
502,"Douglas Stark,Jesse Davis",Friendly Object Tracking and Foreign Object Detection and Localization with an SDAC Wireless Sensor Network.,FTDCS,Conference and Workshop Papers,2004,closed,conf/ftdcs/StarkD04,https://doi.org/10.1109/FTDCS.2004.1316590
503,"Yosuke Tsubuku,Yuichi Nakamura,Yuichi Ohta",Object Tracking and Object Change Detection in Desktop Manipulation for Video-Based Interactive Manuals.,PCM,Conference and Workshop Papers,2004,closed,conf/pcm/TsubukuNO04,https://doi.org/10.1007/978-3-540-30542-2_14
504,"Nada Milisavljevic,Isabelle Bloch",Detection of low-metal content objects by evidential fusion of mine detection sensors.,Integr. Comput. Aided Eng.,Journal Articles,2003,closed,journals/icae/MilisavljevicB03,https://doi.org/10.3233/ica-2003-10106
505,"Rainer Lienhart,Alexander Kuranov,Vadim Pisarevsky",Empirical Analysis of Detection Cascades of Boosted Classifiers for Rapid Object Detection.,DAGM-Symposium,Conference and Workshop Papers,2003,closed,conf/dagm/LienhartKP03,https://doi.org/10.1007/978-3-540-45243-0_39
506,"Daniel Toth 0002,Til Aach",Detection and recognition of moving objects using statistical motion detection and Fourier descriptors.,ICIAP,Conference and Workshop Papers,2003,closed,conf/iciap/TothA03,https://doi.org/10.1109/ICIAP.2003.1234088
507,"Paul J. Withagen,Klamer Schutte,Frans C. A. Groen",Likelihood-based object detection and object tracking using color histograms and EM.,ICIP,Conference and Workshop Papers,2002,closed,conf/icip/WithagenSG02,https://doi.org/10.1109/ICIP.2002.1038092
508,"Lucio Marcenaro,Gianluca Gera,Carlo S. Regazzoni",Adaptive change detection approach for object detection in outdoor scenes under variable speed illumination changes1.,EUSIPCO,Conference and Workshop Papers,2000,closed,conf/eusipco/MarcenaroGR00,https://ieeexplore.ieee.org/document/7075422/
509,"Mete H. Gökçetekin,Isil Celasun,A. Murat Tekalp",2D mesh-based detection and representation of an occluding object for object-based video.,ICASSP,Conference and Workshop Papers,2000,closed,conf/icassp/GokcetekinCT00,https://doi.org/10.1109/ICASSP.2000.859203
510,"Zakia Marrakchi,Ludovic Mé,Bernard Vivinis,Benjamin Morin",Flexible Intrusion Detection Using Variable-Length Behavior Modeling in Distributed Environment: Application to CORBA Objects.,Recent Advances in Intrusion Detection,Conference and Workshop Papers,2000,closed,conf/raid/MarrakchiMVM00,https://doi.org/10.1007/3-540-39945-3_9
511,"V. Arulalan,Dhananjay Kumar",Efficient Object Detection and Classification Approach Using HTYOLOV4 and M2RFO-CNN.,Comput. Syst. Sci. Eng.,Journal Articles,2023,closed,journals/csse/ArulalanK23,https://doi.org/10.32604/csse.2023.026744
512,"V. Premanand,Dhananjay Kumar",Moving Multi-Object Detection and Tracking Using MRNN and PS-KM Models.,Comput. Syst. Sci. Eng.,Journal Articles,2023,closed,journals/csse/PremanandK23,https://doi.org/10.32604/csse.2023.026742
513,"P. D. Sheena Smart,K. K. Thanammal,S. S. Sujatha",An Ontology Based Multilayer Perceptron for Object Detection.,Comput. Syst. Sci. Eng.,Journal Articles,2023,closed,journals/csse/SmartTS23,https://doi.org/10.32604/csse.2023.028053
514,"Zhaoxin Fan,Yazhi Zhu,Yulin He,Qi Sun,Hongyan Liu 0002,Jun He 0008",Deep Learning on Monocular Object Pose Detection and Tracking: A Comprehensive Overview.,ACM Comput. Surv.,Journal Articles,2023,closed,journals/csur/FanZHSLH23,https://doi.org/10.1145/3524496
515,"Hongkun Tian,Kechen Song,Song Li,Shuai Ma,Jing Xu 0016,Yunhui Yan",Data-driven robotic visual grasping detection for unknown objects: A problem-oriented review.,Expert Syst. Appl.,Journal Articles,2023,closed,journals/eswa/TianSLMXY23,https://doi.org/10.1016/j.eswa.2022.118624
516,"Chenping Fu,Risheng Liu,Xin Fan 0001,Puyang Chen,Hao Fu,Wanqi Yuan,Ming Zhu 0001,Zhongxuan Luo","Rethinking general underwater object detection: Datasets, challenges, and solutions.",Neurocomputing,Journal Articles,2023,closed,journals/ijon/FuLFCFYZL23,https://doi.org/10.1016/j.neucom.2022.10.039
517,"Lina Gao,Bing Liu 0022,Ping Fu,Mingzhu Xu",Depth-aware inverted refinement network for RGB-D salient object detection.,Neurocomputing,Journal Articles,2023,closed,journals/ijon/GaoLFX23,https://doi.org/10.1016/j.neucom.2022.11.031
518,,Retraction notice to &quot;Distilled and filtered deep neural networks for real-time object detection in edge computing&quot; [Neurocomputing 505 (2022) 225-237].,Neurocomputing,Journal Articles,2023,closed,journals/ijon/YangWQQHYLWP23,https://doi.org/10.1016/j.neucom.2022.10.072
519,"Jiang-Jiang Liu 0001,Qibin Hou,Zhi-Ang Liu,Ming-Ming Cheng",PoolNet+: Exploring the Potential of Pooling for Salient Object Detection.,IEEE Trans. Pattern Anal. Mach. Intell.,Journal Articles,2023,closed,journals/pami/0001HLC23,https://doi.org/10.1109/TPAMI.2021.3140168
520,"Brais Bosquet,Daniel Cores,Lorenzo Seidenari,Víctor M. Brea 0001,Manuel Mucientes,Alberto Del Bimbo",A full data augmentation pipeline for small object detection based on generative adversarial networks.,Pattern Recognit.,Journal Articles,2023,closed,journals/pr/BosquetCSBMB23,https://doi.org/10.1016/j.patcog.2022.108998
521,"Yuming Fang,Haiyan Zhang,Jiebin Yan,Wenhui Jiang,Yang Liu",UDNet: Uncertainty-aware deep network for salient object detection.,Pattern Recognit.,Journal Articles,2023,closed,journals/pr/FangZYJL23,https://doi.org/10.1016/j.patcog.2022.109099
522,"Xiuwei Zhang,Wei Guo,Yinghui Xing,Wenna Wang,Hanlin Yin,Yanning Zhang",AugFCOS: Augmented fully convolutional one-stage object detection network.,Pattern Recognit.,Journal Articles,2023,closed,journals/pr/ZhangGXWYZ23,https://doi.org/10.1016/j.patcog.2022.109098
523,"Zhihua Xu,Xiaobin Hong,Tianshui Chen,Zhijing Yang,Yukai Shi",Scale-Aware Squeeze-and-Excitation for Lightweight Object Detection.,IEEE Robotics Autom. Lett.,Journal Articles,2023,closed,journals/ral/XuHCYS23,https://doi.org/10.1109/LRA.2022.3222957
524,"Junjie Song,Lingjuan Miao,Qi Ming,Zhiqiang Zhou,Yunpeng Dong",Fine-Grained Object Detection in Remote Sensing Images via Adaptive Label Assignment and Refined-Balanced Feature Pyramid Network.,IEEE J. Sel. Top. Appl. Earth Obs. Remote. Sens.,Journal Articles,2023,open,journals/staeors/SongMMZD23,https://doi.org/10.1109/JSTARS.2022.3224558
525,"Liming Zhou,Xiaohan Rao,Yahui Li,Xianyu Zuo,Yang Liu 0055,Yinghao Lin,Yong Yang",SWDet: Anchor-Based Object Detector for Solid Waste Detection in Aerial Images.,IEEE J. Sel. Top. Appl. Earth Obs. Remote. Sens.,Journal Articles,2023,open,journals/staeors/ZhouRLZLLY23,https://doi.org/10.1109/JSTARS.2022.3218958
526,"Songyan Niu,Shuangxia Niu,Cheng Zhang,Linni Jian",Blind-Zone-Free Metal Object Detection for Wireless EV Chargers Employing DD Coils by Passive Electromagnetic Sensing.,IEEE Trans. Ind. Electron.,Journal Articles,2023,closed,journals/tie/NiuNZJ23,https://doi.org/10.1109/TIE.2022.3150114
527,"Tiange Wang,Zijun Zhang,Kwok-Leung Tsui",A Deep Generative Approach for Rail Foreign Object Detections via Semisupervised Learning.,IEEE Trans. Ind. Informatics,Journal Articles,2023,closed,journals/tii/WangZT23,https://doi.org/10.1109/TII.2022.3149931
528,"Jiang Qian,Jingkang Wei,Hui Chen,Gongping Chen",Multimodal Failure Matching Point Based Motion Object Saliency Detection for Unconstrained Videos.,Appl. Artif. Intell.,Journal Articles,2022,open,journals/aai/QianWCC22,https://doi.org/10.1080/08839514.2022.2110695
529,"Athul O. Asok,Gokul Nath S. J.,Sukomal Dey",Concealed Object Detection With Microwave Imaging Using Vivaldi Antennas Utilizing Novel Time-Domain Beamforming Algorithm.,IEEE Access,Journal Articles,2022,open,journals/access/AsokJD22,https://doi.org/10.1109/ACCESS.2022.3218892
